,Democrats_12(Votes),Republicans_12(Votes),Democrats_16(Votes),Republicans_16(Votes),Fips
2985,4043.0,2610.0,3077.0,2932.0,27075
2986,2649.0,5457.0,2045.0,6665.0,29003
2987,1710.0,4649.0,984.0,5486.0,29067
2988,984.0,2624.0,574.0,2965.0,29081
2989,1419.0,2886.0,865.0,3668.0,29149
2990,1261.0,3080.0,724.0,3639.0,29153
2991,19175.0,25618.0,18915.0,24975.0,29165
2992,3903.0,1293.0,2652.0,924.0,28053
2993,9650.0,8181.0,7636.0,7748.0,28113
2994,237.0,1128.0,154.0,1276.0,30025
2995,26403.0,40500.0,21117.0,38675.0,30111
2996,2092.0,4921.0,1472.0,5405.0,5135
2997,6688.0,12689.0,5865.0,13046.0,47047
2998,4237.0,10770.0,2821.0,12419.0,47099
2999,7958.0,8490.0,7125.0,9576.0,45025
3000,28614.0,28961.0,26630.0,29498.0,45041
3001,923.0,2451.0,692.0,2517.0,46067
3002,2724.0,3419.0,2314.0,4038.0,46079
3003,2928.0,7566.0,2223.0,8441.0,46093
3004,8037.0,27422.0,7070.0,29761.0,47011
3005,3953.0,6272.0,2829.0,7680.0,47115
3006,5798.0,11895.0,4761.0,12699.0,29161
3007,9061.0,6293.0,6921.0,5125.0,28001
3008,1428.0,2812.0,1198.0,2763.0,28019
3009,5471.0,10839.0,4458.0,10550.0,28085
3010,3403.0,3164.0,2350.0,3446.0,30041
3011,3783.0,4709.0,3521.0,4872.0,30067
3012,1583.0,3390.0,1300.0,3789.0,37005
3013,1508.0,3109.0,1266.0,3527.0,37029
3014,5532.0,15668.0,5047.0,15810.0,40147
3015,17145.0,30776.0,13891.0,34112.0,41019
3016,832.0,2607.0,682.0,2904.0,41025
3017,274887.0,75302.0,271754.0,63055.0,41051
3018,19260.0,22045.0,18635.0,22589.0,41071
3019,124311.0,124840.0,140188.0,115582.0,42029
3020,4967.0,6512.0,4491.0,6842.0,45037
3021,713.0,1067.0,398.0,1139.0,46025
3022,648.0,515.0,535.0,588.0,46031
3023,1061.0,889.0,754.0,1056.0,46091
3024,1429.0,1535.0,1042.0,1729.0,46101
3025,671.0,1731.0,457.0,1896.0,46129
3026,2804.0,8459.0,1980.0,9791.0,47029
3027,1539.0,1164.0,1019.0,1506.0,50009
3028,20351.0,8093.0,18594.0,7993.0,50023
3029,5166.0,9425.0,3600.0,7208.0,53017
3030,17175.0,13026.0,13525.0,14160.0,55021
3031,22075.0,16615.0,18524.0,17310.0,55097
3032,49219.0,30517.0,39336.0,31483.0,55105
3033,18736.0,12838.0,14692.0,14791.0,55111
3034,3854.0,7408.0,2648.0,8959.0,54035
3035,8959.0,12054.0,6926.0,14592.0,54049
3036,,,,,2130
3037,2188.0,4731.0,1412.0,5639.0,17193
3038,26711.0,28757.0,27207.0,30711.0,18157
3039,43796.0,90747.0,57214.0,87299.0,18057
3040,834.0,2788.0,665.0,2831.0,20027
3041,2455.0,3290.0,1784.0,3776.0,17123
3042,233.0,1159.0,188.0,1172.0,20023
3043,3083.0,5628.0,2286.0,5623.0,1067
3044,3786.0,4152.0,3109.0,4102.0,1023
3045,35870.0,19526.0,26161.0,11946.0,6055
3046,3603.0,10266.0,3056.0,11536.0,8039
3047,9487.0,6998.0,8368.0,6953.0,5035
3048,1356.0,3776.0,1189.0,4081.0,5137
3049,1664.0,4366.0,1236.0,4647.0,12013
3050,27492.0,43450.0,28997.0,48564.0,12061
3051,712.0,1712.0,536.0,2019.0,47137
3052,232443.0,135649.0,206640.0,114948.0,47157
3053,18579.0,46003.0,18153.0,50105.0,47165
3054,2410.0,4144.0,2118.0,4638.0,48057
3055,177.0,962.0,145.0,983.0,48087
3056,480.0,957.0,372.0,980.0,48105
3057,44.0,526.0,34.0,553.0,48173
3058,184.0,1708.0,172.0,1727.0,48205
3059,10496.0,37661.0,10976.0,44370.0,48251
3060,121.0,908.0,96.0,807.0,48421
3061,232788.0,140152.0,306475.0,126750.0,48453
3062,232.0,1878.0,194.0,2087.0,48483
3063,61875.0,97006.0,84252.0,104029.0,48491
3064,94.0,406.0,76.0,327.0,49009
3065,1727.0,1996.0,1932.0,1934.0,49019
3066,30666.0,23256.0,27271.0,23301.0,55035
3067,5298.0,3900.0,3821.0,4907.0,55053
3068,8044.0,5942.0,6351.0,6994.0,55123
3069,5419.0,8350.0,4246.0,10263.0,54019
3070,1736.0,4375.0,1336.0,5245.0,54041
3071,,,,,2195
3072,2937.0,188.0,,,46113
3073,10317.0,13984.0,8199.0,15207.0,51089
